ID,back_translated_DATA,LABEL,back_translated_DATA_tamil
TAM_HUAI_TR_015,Some people appear to be allergic to skin when used.,AI,ചില ആളുകൾ ഉപയോഗിക്കുമ്പോൾ ചർമ്മത്തിന് അലർജിയുണ്ടെന്ന് തോന്നുന്നു.
TAM_HUAI_TR_016,This soap is very expensive.,AI,ഈ സോപ്പ് വളരെ ചെലവേറിയതാണ്.
TAM_HUAI_TR_017,"When using it, a lot of soap is to be used when using it.",AI,"ഇത് ഉപയോഗിക്കുമ്പോൾ, അത് ഉപയോഗിക്കുമ്പോൾ ധാരാളം സോപ്പ് ഉപയോഗിക്കണം."
TAM_HUAI_TR_018,The smell of soap does not last long.,AI,സോപ്പിന്റെ മണം അധികകാലം നിലനിൽക്കില്ല.
TAM_HUAI_TR_019,The color of the soap is impossible.,AI,സോപ്പിന്റെ നിറം അസാധ്യമാണ്.
TAM_HUAI_TR_020,"After using this, there is no better change in the skin.",AI,"ഇത് ഉപയോഗിച്ചതിന് ശേഷം, ചർമ്മത്തിൽ മികച്ച മാറ്റങ്ങളൊന്നുമില്ല."
TAM_HUAI_TR_021,"The taste of this toothpaste is very strong, and sometimes it causes discomfort.",AI,"ഈ ടൂത്ത് പേസ്റ്റ് എന്ന രുചി വളരെ ശക്തമാണ്, ചിലപ്പോൾ അത് അസ്വസ്ഥതയ്ക്ക് കാരണമാകുന്നു."
TAM_HUAI_TR_022,No foundation: Toothpaste seems baseless at times.,AI,ഒരു ഫ Foundation ണ്ടേഷനും ഇല്ല: ടൂത്ത് പേസ്റ്റിന് ചില സമയങ്ങളിൽ അടിസ്ഥാനരഹിതമാണെന്ന് തോന്നുന്നു.
TAM_HUAI_TR_023,Toothpaste is felt as high in acid.,AI,ടൂത്ത് പേസ്റ്റ് ആസിഡിൽ ഉയർന്നതായി അനുഭവപ്പെട്ടു.
TAM_HUAI_TR_024,The price of toothpaste has risen very high.,AI,ടൂത്ത് പേസ്റ്റിന്റെ വില വളരെ ഉയർന്നതാണ്.
TAM_HUAI_TR_025,Brushing is very soft when using toothpaste.,AI,ടൂത്ത് പേസ്റ്റ് ഉപയോഗിക്കുമ്പോൾ ബ്രഷിംഗ് വളരെ മൃദുവാണ്.
TAM_HUAI_TR_026,Sometimes blood comes in the gums after using toothpaste.,AI,ചിലത് ടൂത്ത് പേസ്റ്റ് ഉപയോഗിച്ചതിനുശേഷം മോണയിൽ രക്തം വരുന്നു.
TAM_HUAI_TR_027,The toothpaste is very small.,AI,ടൂത്ത് പേസ്റ്റ് വളരെ ചെറുതാണ്.
TAM_HUAI_TR_028,The taste of toothpaste lasts a long time on the tongue.,AI,ടൂത്ത് പേസ്റ്റിന്റെ രുചി നാവിൽ വളരെക്കാലം നീണ്ടുനിൽക്കും.
TAM_HUAI_TR_029,Toothpaste has to be increased in each use.,AI,ടൂത്ത് പേസ്റ്റ് ഓരോ ഉപയോഗത്തിലും വർദ്ധിപ്പിക്കേണ്ടതുണ്ട്.
TAM_HUAI_TR_030,Toothpaste often could not be closed.,AI,ടൂത്ത് പേസ്റ്റ് പലപ്പോഴും അടയ്ക്കാൻ കഴിഞ്ഞില്ല.
TAM_HUAI_TR_031,The effects of toothpaste are low.,AI,ടൂത്ത് പേസ്റ്റിന്റെ ഫലങ്ങൾ കുറവാണ്.
TAM_HUAI_TR_032,Foam does not develop too much when using toothpaste.,AI,ടൂത്ത് പേസ്റ്റ് ഉപയോഗിക്കുമ്പോൾ നുരയെ വളരെയധികം വികസിപ്പിക്കുന്നില്ല.
TAM_HUAI_TR_033,The color of the toothpaste is very attractive.,AI,ടൂത്ത് പേസ്റ്റിന്റെ നിറം വളരെ ആകർഷകമാണ്.
TAM_HUAI_TR_034,Toothpaste teeth are not completely cleaned.,AI,ടൂത്ത് പേസ്റ്റ് പല്ലുകൾ പൂർണ്ണമായും വൃത്തിയാക്കുന്നില്ല.
TAM_HUAI_TR_035,The tongue occurs after the use of toothpaste.,AI,ടൂത്ത് പേസ്റ്റ് ഉപയോഗിച്ചതിനുശേഷം നാവ് സംഭവിക്കുന്നു.
TAM_HUAI_TR_036,The tube of the toothpaste could not be easily pressed.,AI,ടൂത്ത് പേസ്റ്റിന്റെ ട്യൂബ് എളുപ്പത്തിൽ അമർത്താൻ കഴിഞ്ഞില്ല.
TAM_HUAI_TR_037,The smell of toothpaste does not like much.,AI,ടൂത്ത് പേസ്റ്റിന്റെ ഗന്ധം അധികം ഇഷ്ടപ്പെടുന്നില്ല.
TAM_HUAI_TR_038,Toothpaste is not efficient in strengthening teeth.,AI,പല്ലുകൾ ശക്തിപ്പെടുത്തുന്നതിൽ ടൂത്ത് പേസ്റ്റ് കാര്യക്ഷമമല്ല.
TAM_HUAI_TR_039,Sometimes the infection occurs in the mouth after using toothpaste.,AI,ടൂത്ത് പേസ്റ്റ് ഉപയോഗിച്ചതിനുശേഷം ചിലപ്പോൾ വായിൽ അണുബാധ സംഭവിക്കുന്നു.
TAM_HUAI_TR_040,"Maintenance on the upper surface of the toothpaste is very dense, resulting in difficulty to open them.",AI,"ടൂത്ത് പേസ്റ്റിന്റെ മുകളിലെ ഉപരിതലത്തിലെ അറ്റകുറ്റപ്പണി വളരെ സാന്ദ്രതയുള്ളതാണ്, അവ തുറക്കാൻ ബുദ്ധിമുട്ടാണ്."
TAM_HUAI_TR_041,The taste of the toothpaste is very pleasant.,AI,ടൂത്ത് പേസ്റ്റിന്റെ രുചി വളരെ മനോഹരമാണ്.
TAM_HUAI_TR_042,"Once the toothpaste is used, the new mind is available in the mouth.",AI,"ടൂത്ത് പേസ്റ്റ് ഉപയോഗിച്ചുകഴിഞ്ഞാൽ, പുതിയ മനസ്സ് വായിൽ ലഭ്യമാണ്."
TAM_HUAI_TR_043,The use of toothpaste protects the gums.,AI,ടൂത്ത് പേസ്റ്റിന്റെ ഉപയോഗം മോണകളെ സംരക്ഷിക്കുന്നു.
TAM_HUAI_TR_044,Removing the smell: Eliminates the curtains in the mouth.,AI,മണം നീക്കംചെയ്യുന്നു: വായയിലെ തിരശ്ശീലകൾ ഇല്ലാതാക്കുന്നു.
TAM_HUAI_TR_045,Natural raw materials are used.,AI,പ്രകൃതി അസംസ്കൃത വസ്തുക്കൾ ഉപയോഗിക്കുന്നു.
TAM_HUAI_TR_046,Soft brushing: Toothpaste is soft when brushing.,AI,സോഫ്റ്റ് ബ്രഷിംഗ്: ബ്രഷ് ചെയ്യുമ്പോൾ ടൂത്ത് പേസ്റ്റ് മൃദുവാണ്.
TAM_HUAI_TR_047,It is quality according to the price.,AI,ഇത് വില അനുസരിച്ച് ഗുണനിലവാരമുള്ളതാണ്.
TAM_HUAI_TR_048,Foam is high when toothpaste is used.,AI,ടൂത്ത് പേസ്റ്റ് ഉപയോഗിച്ചപ്പോൾ നുര.
TAM_HUAI_TR_049,Toothpaste protects teeth as iron.,AI,ടൂത്ത് പേസ്റ്റ് പല്ലുകൾ ഇരുമ്പുമായി സംരക്ഷിക്കുന്നു.
TAM_HUAI_TR_050,The teeth shine after using it.,AI,അത് ഉപയോഗിച്ചതിന് ശേഷം പല്ലുകൾ തിളങ്ങുന്നു.
TAM_HUAI_TR_051,The toothpaste cleanses all the pollutants in the teeth.,AI,ടൂത്ത് പേസ്റ്റ് പല്ലിലെ എല്ലാ മലിനീകരണങ്ങളും വൃത്തിയാക്കുന്നു.
TAM_HUAI_TR_052,The smell of toothpaste remains in the mouth for a long time.,AI,ടൂത്ത് പേസ്റ്റുകളുടെ ഗന്ധം വളരെക്കാലം വായിൽ തുടരുന്നു.
TAM_HUAI_TR_053,The toothpaste is a little enough in every use.,AI,ടൂത്ത് പേസ്റ്റ് എല്ലാ ഉപയോഗത്തിലും കുറവാണ്.
TAM_HUAI_TR_054,The teeth are very holy when the tooth is used.,AI,പല്ല് ഉപയോഗിക്കുമ്പോൾ പല്ലുകൾ വളരെ വിശുദ്ധമാണ്.
TAM_HUAI_TR_055,Toothpaste protects skin and does not irritate.,AI,ടൂത്ത് പേസ്റ്റ് ചർമ്മത്തെ സംരക്ഷിക്കുകയും പ്രകോപിപ്പിക്കാതിരിക്കുകയും ചെയ്യുന്നില്ല.
TAM_HUAI_TR_056,"After using toothpaste, the elements in the mouth are not glue.",AI,"ടൂത്ത് പേസ്റ്റ് ഉപയോഗിച്ചതിനുശേഷം, വായയിലെ ഘടകങ്ങൾ പശയല്ല."
TAM_HUAI_TR_057,Most Performance: The performance of the toothpaste is great.,AI,മിക്ക പ്രകടനവും: ടൂത്ത് പേസ്റ്റിന്റെ പ്രകടനം മികച്ചതാണ്.
TAM_HUAI_TR_058,The smell of toothpaste is very attractive.,AI,ടൂത്ത് പേസ്റ്റിന്റെ ഗന്ധം വളരെ ആകർഷകമാണ്.
TAM_HUAI_TR_059,Toothpaste keeps teeth strong and healthy.,AI,ടൂത്ത് പേസ്റ്റ് പല്ലുകൾ ശക്തവും ആരോഗ്യകരവുമായി നിലനിർത്തുന്നു.
TAM_HUAI_TR_060,The natural taste of the toothpaste is very happy.,AI,ടൂത്ത് പേസ്റ്റിന്റെ സ്വാഭാവിക രുചി വളരെ സന്തോഷകരമാണ്.
TAM_HUAI_TR_061,The smell of this hair oil is very refreshing.,AI,ഈ മുടി എണ്ണയുടെ മണം വളരെ ഉന്മേഷദായകമാണ്.
TAM_HUAI_TR_062,The hair is soft and sexy after using it.,AI,മുടി മൃദുവും സെക്സിയുമാണ്.
TAM_HUAI_TR_063,Improves hair growth.,AI,മുടിയുടെ വളർച്ച മെച്ചപ്പെടുത്തുന്നു.
TAM_HUAI_TR_064,Keeps the hair glitter.,AI,ഹെയർ ഗ്ലിറ്റർ സൂക്ഷിക്കുന്നു.
TAM_HUAI_TR_065,Dry head reduces skin problems.,AI,വരണ്ട തല ചർമ്മ പ്രശ്നങ്ങൾ കുറയ്ക്കുന്നു.
TAM_HUAI_TR_066,Reduces hair loss.,AI,മുടി കൊഴിച്ചിൽ കുറയ്ക്കുന്നു.
TAM_HUAI_TR_067,It contains natural and useful raw materials.,AI,അതിൽ സ്വാഭാവികവും ഉപയോഗപ്രദവുമായ അസംസ്കൃത വസ്തുക്കൾ അടങ്ങിയിരിക്കുന്നു.
TAM_HUAI_TR_068,Helps to correct headache problems.,AI,തലവേദന പ്രശ്നങ്ങൾ ശരിയാക്കാൻ സഹായിക്കുന്നു.
TAM_HUAI_TR_069,Natural hair protects color.,AI,സ്വാഭാവിക മുടി നിറം സംരക്ഷിക്കുന്നു.
TAM_HUAI_TR_070,Increases hair density.,AI,ഹെയർ സാന്ദ്രത വർദ്ധിപ്പിക്കുന്നു.
TAM_HUAI_TR_071,The hair strengthens the roots.,AI,മുടി വേരുകൾ ശക്തിപ്പെടുത്തുന്നു.
TAM_HUAI_TR_072,Hair fixes hairstyles.,AI,ഹെയർ സ്സ്റ്റൈൽസ് പരിഹരിക്കുന്നു.
TAM_HUAI_TR_073,Provides the necessary nutrients for hair.,AI,മുടിക്ക് ആവശ്യമായ പോഷകങ്ങൾ നൽകുന്നു.
TAM_HUAI_TR_074,The oil easily makes the hair in the hair.,AI,എണ്ണ മുടി മുടിയിൽ ഉണ്ടാക്കുന്നു.
TAM_HUAI_TR_075,Helps reduce head wrinkles.,AI,ഹെഡ് ചുളിവുകൾ കുറയ്ക്കാൻ സഹായിക്കുന്നു.
TAM_HUAI_TR_076,Helps to prolong the grassroots.,AI,അടിത്തട്ടിലുള്ള അടിത്തറകൾ നീട്ടാൻ സഹായിക്കുന്നു.
TAM_HUAI_TR_077,"If the oil is rubbed, the headache is reduced.",AI,"എണ്ണ തടവുകയാണെങ്കിൽ, തലവേദന കുറയുന്നു."
TAM_HUAI_TR_078,Helps reduce hair bugs.,AI,ഹെയർ ബഗുകൾ കുറയ്ക്കാൻ സഹായിക്കുന്നു.
TAM_HUAI_TR_079,Prevents fox hair.,AI,കുറുക്ക മുടി തടയുന്നു.
TAM_HUAI_TR_080,This oil is simple and easy to use.,AI,ഈ എണ്ണ ലളിതവും ഉപയോഗിക്കാൻ എളുപ്പവുമാണ്.
TAM_HUAI_TR_081,"The smell of this hair oil is very strong, and some do not like it.",AI,"ഈ മുടി എണ്ണയുടെ മണം വളരെ ശക്തമാണ്, ചിലർക്ക് ഇത് ഇഷ്ടമല്ല."
TAM_HUAI_TR_082,The oil leaves the skin well and gives up hard.,AI,എണ്ണ തൊലി നന്നായി വിട്ട് കഠിനമായി ഉപേക്ഷിക്കുന്നു.
TAM_HUAI_TR_083,Skin Ice: This oil causes some people's skin on the skin.,AI,ത്വക്ക് ഐസ്: ഈ എണ്ണ ചർമ്മത്തിൽ ചില ആളുകളുടെ ചർമ്മത്തിന് കാരണമാകുന്നു.
TAM_HUAI_TR_084,"Large bandage: After using oil, large bundles are formed on the hair.",AI,"വലിയ തലപ്പാവു: എണ്ണ ഉപയോഗിച്ചതിനുശേഷം, മുടിയിൽ വലിയ ബണ്ടിലുകൾ രൂപം കൊള്ളുന്നു."
TAM_HUAI_TR_085,"Chests: Oil is not properly infiltrated, causing chest to head on the skin.",AI,നെഞ്ചുകൾ: എണ്ണ ശരിയായി നുഴഞ്ഞുകയറാതിരിക്കുകയും ചർമ്മത്തിൽ നെഞ്ചിൽ കഴിയുകയും ചെയ്യുന്നു.
TAM_HUAI_TR_086,Great Oil Left: Oil leaves a large amount of head skin.,AI,വലിയ എണ്ണ അവശേഷിക്കുന്നു: എണ്ണ ഒരു വലിയ അളവിലുള്ള ചർമ്മം ഉപേക്ഷിക്കുന്നു.
TAM_HUAI_TR_087,Summary too much: Excess wrinkle in the head skin after the use of oil.,AI,സംഗ്രഹം വളരെയധികം: എണ്ണ ഉപയോഗത്തിന് ശേഷം തല തൊലിയിൽ അധിക ചുളിവുകൾ.
TAM_HUAI_TR_088,Oil is stained in the pots: the oil is high in the pots.,AI,കലങ്ങളിൽ എണ്ണ കറങ്ങുന്നു: കലത്തിൽ എണ്ണ ഉയർന്നതാണ്.
TAM_HUAI_TR_089,Allergy problem: Some people have this oil allergy problem.,AI,അലർജി പ്രശ്നം: ചില ആളുകൾക്ക് ഈ എണ്ണ അലർജി ഉണ്ട്.
TAM_HUAI_TR_090,Too much shedding: The hair spills more after using oil.,AI,വളരെയധികം ചൊരിയുന്നു: എണ്ണ ഉപയോഗിച്ചതിനുശേഷം മുടി കൂടുതൽ ചോർച്ച ചെയ്യുന്നു.
TAM_HUAI_TR_091,Difficult Cleaning: The oil is not well cleaned and wash it.,AI,ബുദ്ധിമുട്ടുള്ള ക്ലീനിംഗ്: എണ്ണ നന്നായി വൃത്തിയാക്കി കഴുകിക്കില്ല.
TAM_HUAI_TR_092,Pricing Increase: The price of this oil is very high.,AI,വിലനിർണ്ണയ വർദ്ധനവ്: ഈ എണ്ണയുടെ വില വളരെ ഉയർന്നതാണ്.
TAM_HUAI_TR_093,Head Pain: Some people experience headaches after using this oil.,AI,തലവേദന: ഈ എണ്ണ ഉപയോഗിച്ചതിന് ശേഷം ചിലർ തലവേദന അനുഭവപ്പെടുന്നു.
TAM_HUAI_TR_094,Sprinkle quickly: the oil is quickly spoiled.,AI,വേഗത്തിൽ തളിക്കുക: എണ്ണ പെട്ടെന്ന് നശിപ്പിക്കപ്പെടുന്നു.
TAM_HUAI_TR_095,Stench to other ways: Oil is used after the use of oil.,AI,മറ്റ് വഴികളിലേക്ക് ദുഷിപ്പിക്കുക: എണ്ണ ഉപയോഗിച്ചതിന് ശേഷം എണ്ണ ഉപയോഗിക്കുന്നു.
TAM_HUAI_TR_096,Too much obesity: Oil hair causes more obesity.,AI,വളരെയധികം അമിതവണ്ണം: എണ്ണ മുടി കൂടുതൽ അമിതവണ്ണത്തിന് കാരണമാകുന്നു.
TAM_HUAI_TR_097,Not soaking quickly: the oil does not soak quickly on the head skin.,AI,വേഗത്തിൽ കുതിർക്കുന്നില്ല: എണ്ണ വേഗത്തിൽ തലയിൽ കുതിർക്കുന്നില്ല.
TAM_HUAI_TR_098,Unable to use daily: Some people are not interested in using oil daily.,AI,ദിവസേന ഉപയോഗിക്കാനായില്ല: ചില ആളുകൾ ദിവസവും എണ്ണ ഉപയോഗിക്കാൻ താൽപ്പര്യമില്ല.
TAM_HUAI_TR_099,Too much bitter taste: The taste of the oil is very bitter.,AI,വളരെയധികം കയ്പേറിയ രുചി: എണ്ണയുടെ രുചി വളരെ കയ്പേറിയതാണ്.
TAM_HUAI_TR_100,The problems are not solved: no change or problems after the oil is used.,AI,പ്രശ്നങ്ങൾ പരിഹരിക്കപ്പെടുന്നില്ല: എണ്ണ ഉപയോഗിച്ചതിനുശേഷം മാറ്റമോ പ്രശ്നങ്ങളോ ഇല്ല.
TAM_HUAI_TR_101,"The screen of this mobile phone reveals the most accurate colors, and it is very interesting to watch the film.",AI,"ഈ മൊബൈൽ ഫോണിന്റെ സ്ക്രീൻ ഏറ്റവും കൃത്യമായ നിറങ്ങൾ വെളിപ്പെടുത്തുന്നു, മാത്രമല്ല സിനിമ കാണുന്നത് വളരെ രസകരമാണ്."
TAM_HUAI_TR_102,"The clarity of the screen is very good, and using this I can read it correctly in low light.",AI,"സ്ക്രീനിന്റെ വ്യക്തത വളരെ മികച്ചതാണ്, ഇത് ഉപയോഗിക്കുന്നത് എനിക്ക് അത് ശരിയായി താഴ്ന്ന വെളിച്ചത്തിൽ വായിക്കാൻ കഴിയും."
TAM_HUAI_TR_103,This phone's battery life lasts well and is used for the whole day by charging once.,AI,ഈ ഫോണിന്റെ ബാറ്ററി ആയുസ്സ് നന്നായി നിലനിൽക്കുകയും ഒരു തവണ ചാർജ് ചെയ്യുകയും ദിവസം മുഴുവൻ ഉപയോഗിക്കുന്നു.
TAM_HUAI_TR_104,The battery is very quickly charged so that it is able to make time austerity.,AI,"ബാറ്ററി വളരെ വേഗത്തിൽ ചാർജ്ജ് ചെയ്തിരിക്കുന്നു, അങ്ങനെ അത് ഏറെ ചെലവാകും."
TAM_HUAI_TR_105,"The mobile phone's screen is excellent, so that the video watching experience is very good.",AI,"മൊബൈൽ ഫോണിന്റെ സ്ക്രീൻ മികച്ചതാണ്, അതുവഴി വീഡിയോ കാണുന്ന അനുഭവം വളരെ മികച്ചതാണ്."
TAM_HUAI_TR_106,"Since there is a long battery life, I am able to play games continuously.",AI,"ഒരു നീണ്ട ബാറ്ററി ലൈഫ് ഉള്ളതിനാൽ, എനിക്ക് തുടർച്ചയായി ഗെയിമുകൾ കളിക്കാൻ കഴിയും."
TAM_HUAI_TR_107,"I like the large amount of this screen, which is very comfortable.",AI,"എനിക്ക് വളരെ സുഖകരമാണ്, ഈ സ്ക്രീൻ എനിക്ക് ഇഷ്ടമാണ്."
TAM_HUAI_TR_108,Battery charging lasts a long time and it is very convenient to carry the phone on trips.,AI,"ബാറ്ററി ചാർജിംഗ് വളരെക്കാലം നീണ്ടുനിൽക്കും, അത് യാത്രകളിൽ ഫോൺ വഹിക്കുന്നത് വളരെ സൗകര്യപ്രദമാണ്."
TAM_HUAI_TR_109,Both the brightness and decrease of the screen are correct and can be used without affecting the eyes.,AI,"സ്ക്രീനിന്റെ തെളിച്ചവും കുറവും ശരിയാണ്, മാത്രമല്ല കണ്ണുകളെ ബാധിക്കാതെ ഉപയോഗിക്കാം."
TAM_HUAI_TR_110,"Battery capacity is very high quality, thus not getting hotter than too much time.",AI,"ബാറ്ററി ശേഷി വളരെ ഉയർന്ന നിലവാരമുള്ളതാണ്, അതിനാൽ വളരെയധികം സമയത്തേക്കാൾ ചൂട് ലഭിക്കുന്നില്ല."
TAM_HUAI_TR_111,"The screen of this mobile phone is very bright for the eye, causing fatigue when looking for a long time.",AI,"ഈ മൊബൈൽ ഫോണിന്റെ സ്ക്രീൻ കണ്ണിന് വളരെ തിളക്കമുള്ളതാണ്, വളരെക്കാലമായി നോക്കുമ്പോൾ ക്ഷീണം കാരണമാകുന്നു."
TAM_HUAI_TR_112,"The colors of the screen are not very natural, and sometimes the images are doubtful.",AI,"സ്ക്രീനിന്റെ നിറങ്ങൾ വളരെ സ്വാഭാവികമല്ല, ചിലപ്പോൾ ചിത്രങ്ങൾ സംശയമുണ്ട്."
TAM_HUAI_TR_113,"The battery is empty fast, and has to be charged twice daily.",AI,"ബാറ്ററി ശൂന്യമാണ്, കൂടാതെ ദിവസേന രണ്ടുതവണ ഈടാക്കേണ്ടതുണ്ട്."
TAM_HUAI_TR_114,"The time to take the battery is very high, which causes inconvenience.",AI,"ബാറ്ററി എടുക്കാനുള്ള സമയം വളരെ ഉയർന്നതാണ്, ഇത് അസ ven കര്യത്തിന് കാരണമാകുന്നു."
TAM_HUAI_TR_115,"The screen of the mobile phone is not clear in the light, it is very difficult to read in the sun.",AI,"മൊബൈൽ ഫോണിന്റെ സ്ക്രീൻ വെളിച്ചത്തിൽ വ്യക്തമല്ല, സൂര്യനിൽ വായിക്കാൻ വളരെ ബുദ്ധിമുട്ടാണ്."
TAM_HUAI_TR_116,"The battery life is low, and only a few hours.",AI,"ബാറ്ററി ലൈഫ് കുറവാണ്, കുറച്ച് മണിക്കൂർ മാത്രം."
TAM_HUAI_TR_117,"Due to the shortest shape of the screen, some processors could not be used properly.",AI,"സ്ക്രീനിന്റെ ഏറ്റവും കുറഞ്ഞ രൂപം കാരണം, ചില പ്രോസസ്സറുകൾ ശരിയായി ഉപയോഗിക്കാൻ കഴിഞ്ഞില്ല."
TAM_HUAI_TR_118,"The battery becomes hot during charging, which is anxiety.",AI,"ചാർജ്ജുചെയ്യുമ്പോൾ ബാറ്ററി ചൂടായി മാറുന്നു, അത് ഉത്കണ്ഠയാണ്."
TAM_HUAI_TR_119,"The light of the screen will automatically become, so that it is always a manually adjusted.",AI,"സ്ക്രീനിന്റെ വെളിച്ചം യാന്ത്രികമായി മാറും, അങ്ങനെ അത് എല്ലായ്പ്പോഴും സ്വമേധയാ ക്രമീകരിച്ചു."
TAM_HUAI_TR_120,"The battery charging decreases, and the application time is unable to increase.",AI,"ബാറ്ററി ചാർജ് ചെയ്യുന്നത് കുറയുന്നു, അപ്ലിക്കേഷൻ സമയത്തിന് വർദ്ധിക്കാൻ കഴിയില്ല."
TAM_HUAI_TR_121,"The screen of the laptop is very bright for the eye, causing fatigue when looking for a long time.",AI,"ലാപ്ടോപ്പിന്റെ സ്ക്രീൻ കണ്ണിന് വളരെ തിളക്കമുള്ളതാണ്, ദീർഘനേരം നോക്കുമ്പോൾ ക്ഷീണം കാരണമാകുന്നു."
TAM_HUAI_TR_122,The colors of the screen are not natural and are not so helpful to work or edit images.,AI,"സ്ക്രീനിന്റെ നിറങ്ങൾ സ്വാഭാവികമല്ല, മാത്രമല്ല ഇമേജുകൾ എഡിറ്റുചെയ്യുന്നത് സഹായകരല്ല."
TAM_HUAI_TR_123,Battery life is low and lasts only a few hours.,AI,"ബാറ്ററി ലൈഫ് കുറവാണ്, കുറച്ച് മണിക്കൂറുകൾ മാത്രമേ നീണ്ടുനിൽക്കൂ."
TAM_HUAI_TR_124,"The battery is not fast charged, and it is difficult to charge at work.",AI,"ബാറ്ററി വേഗത്തിൽ ചാർജ്ജ് ചെയ്തിട്ടില്ല, ജോലിസ്ഥലത്ത് ചാർജ് ചെയ്യുന്നത് ബുദ്ധിമുട്ടാണ്."
TAM_HUAI_TR_125,"The screen of the laptop is not clear in the light, and the use of the outside is very difficult.",AI,"ലാപ്ടോപ്പിന്റെ സ്ക്രീൻ വെളിച്ചത്തിൽ വ്യക്തമല്ല, പുറത്തെ ഉപയോഗം വളരെ ബുദ്ധിമുട്ടാണ്."
TAM_HUAI_TR_126,"The battery becomes hot during charging, which causes security problems.",AI,"ചാർജ്ജുചെയ്യുമ്പോൾ ബാറ്ററി ചൂടായി മാറുന്നു, ഇത് സുരക്ഷാ പ്രശ്നങ്ങൾക്ക് കാരണമാകുന്നു."
TAM_HUAI_TR_127,The screen resolution is low and the images are unable to see.,AI,"സ്ക്രീൻ മിഴിവ് കുറവാണ്, ചിത്രങ്ങൾക്ക് കാണാൻ കഴിയില്ല."
TAM_HUAI_TR_128,The battery charging decreases and the total can be stopped while working.,AI,"ബാറ്ററി ചാർജ് ചെയ്യുന്നത് കുറയുന്നു, ജോലി ചെയ്യുമ്പോൾ ആകെ നിർത്താം."
TAM_HUAI_TR_129,"The viewing angle of the screen is not correct, and the colors change in some angles.",AI,"സ്ക്രീനിന്റെ കാഴ്ച കോണിൽ ശരിയല്ല, നിറങ്ങൾ ചില കോണുകളിൽ മാറുന്നു."
TAM_HUAI_TR_130,"Since the battery life is low, it is not used continuously and is required to charge.",AI,"ബാറ്ററി ലൈഫ് കുറവായതിനാൽ, അത് തുടർച്ചയായി ഉപയോഗിക്കുന്നില്ല, അത് ചാർജ് ചെയ്യേണ്ടതുണ്ട്."
TAM_HUAI_TR_131,The screen of the laptop is very accurate and looks good.,AI,ലാപ്ടോപ്പിന്റെ സ്ക്രീൻ വളരെ കൃത്യവും നന്നായി തോന്നുന്നു.
